Designator,Mid X,Mid Y,Rotation,Layer
C1,165.65,-114.6,45.0,top
C10,163.35,-125.612613,270.0,top
C11,163.2,-114.22,90.0,top
C12,160.3,-110.8,90.0,top
C13,156.65,-98.55,180.0,top
C14,157.75,-104.3125,180.0,top
C15,156.91,-127.562613,90.0,top
C16,162.31,-127.562613,270.0,top
C17,158.47,-110.05,0.0,top
C2,162.3,-125.612613,270.0,top
C3,154.85,-120.95,180.0,top
C4,155.77,-116.0,180.0,top
C5,164.2,-114.65,90.0,top
C6,161.35,-110.8,90.0,top
C7,162.4,-110.0,90.0,top
C8,165.6,-116.1,0.0,top
C9,166.05,-120.5,0.0,top
J1,160.5,-92.5,180.0,top
J2,151.61,-115.5,0.0,top
J3,169.39,-115.5,0.0,top
J4,160.5,-139.39,90.0,top
R1,158.7,-98.8,90.0,top
R2,161.9,-98.81,90.0,top
R3,161.2,-113.79,90.0,top
R4,162.2,-113.79,90.0,top
R5,160.66,-125.212613,0.0,top
R6,164.7,-104.3,0.0,top
R7,156.49,-110.05,180.0,top
SW1,164.5,-100.85,270.0,top
U1,160.5,-119.5,90.0,top
U2,157.6,-101.3125,270.0,top
U3,157.5,-111.9,0.0,top
U4,163.8,-131.2,0.0,top
Y1,159.61,-127.562613,180.0,top
